country,institutions_in_dataset,paper_affiliations
UK,19,398
Germany,20,218
Switzerland,4,148
France,8,71
Italy,6,56
Netherlands,3,43
Russia,6,39
Austria,4,35
Finland,2,24
Denmark,2,19
Sweden,2,13
Belgium,2,11
Norway,1,6
Czechia,1,4
Portugal,1,1
Spain,1,1
